name,alternative_names,bsc_subfamilies,short_definition,explanation
The Green Index (TGI),,Operational Efficiency,Flexible green benchmarking metric based on performance-per-watt.,"Metric offers flexible green benchmarking. While defined using performance-per-watt, it can incorporate any energy-efficiency metric. TGI focuses solely on IT equipment power but can be extended to include cooling infrastructure."
The Value of Information for Business (VIB),,Data Valuation Techniques,"Actionable information quality (accuracy, relevance, timeliness).","Assesses how useful information is for business processes, focusing on accuracy, completeness, relevance, and delay in receiving the information."
Throughput,Transaction Processing Speed,Operational Efficiency,Throughput: number of requests processed per time unit.,"Measures the number of requests a system processes over a specific period (e.g., requests per second, minute, or hour)."
Timeliness,Data Freshness,Data Quality,Data availability and timeliness for user needs.,"Measures the availability of data when needed, ensuring data is up-to-date and accessible within an appropriate timeframe. Includes frequency of updates, and speed of availability."
Total Equipment Utilisation (TEU),,Operational Efficiency,Overall resource usage of the entire facility.,"Could be considered within System Utilisation Metric but given its broad use, has been set apart. It encompasses the overall facility?s resource usage. It includes cooling, power distribution, and other supporting infrastructure components."
Traceability,"['Addressability', 'NGD', 'NDI', 'NDG', 'NID', 'NDGI', 'Verifiability', 'Provenence Documentation', 'Audit Trail Coverage', 'Compliance Rate']",Data Governance and Compliance,"Ability to trace data lineage, provenance, and audit trails.","Refers to the ability to track and verify data throughout its lifecycle. It involves understanding data lineage?how data flows from its source through various transformations to its final use?and provenance, which captures the origin and history of the data, including any changes made. Maintaining audit trails ensures that all modifications are recorded, including who made them, when, and what was changed, supporting accountability and transparency. Traceability also plays a key role in meeting regulatory and governance standards by demonstrating data integrity and responsible data handling. Additionally, addressability defines how the origin of data can be identified and, if needed, contacted or referenced.  Other metrics useful to estimate traceability includes Data Lineage Completeness measures the percentage of data elements for which lineage information is available. Provenance Documentation assesses the percentage of data elements with documented provenance. Audit Trail Coverage evaluates the percentage of data changes that are recorded in an audit trails. Compliance Rate measures the percentage of data processes that comply with established governance and regulatory standards."
Traffic Energy,Management and Monitoring Traffic Energy (MMTE),Technology and Infrastructure,"Energy footprint of data collection, transmission, and processing.","Accounts for the power required by sensors to generate data, the energy used for data transmission across multiple network hops, and the computational resources needed to store and process incoming information. Additionally, some specific component of data management can be measured."
Traffic Ratio,"['Management and Monitoring Traffic Ratio (MMTR)', 'Internal Traffic', 'External Traffic']",Technology and Infrastructure,Proportion of specific traffic type in total network data.,"Represents the proportion of a specific type of network traffic relative to the total traffic in a network or data centre. It is used to analyse the composition of traffic, distinguish between different categories (e.g., internal vs. external, management vs. application-specific)."
Transparency,Objective Measurement,"['Innovation and Growth', 'Market Penetration', 'Data Governance and Compliance']",Clarity and interpretability of data and processes.,"Refers to the ease of identifying, understanding, and interpreting data and processes. Includes clarity in presenting results and consistency in analysis."
Trustworthiness,"['Assurance', 'Trust Score']",Innovation and Growth,Trustworthiness of data based on reputation and credibility.,"Refers to the believability or trustworthiness of data, often based on its integrity, reliability, and consistency. Trust Score (TS) is derived from reputation and credibility without involving a centralised authority."
Typicality,,Data Quality,Degree of conformity of a data point to expected patterns.,Measures how well a data point aligns with expected or ?typical? patterns within a dataset. It helps identify outliers or unusual events using statistical or machine learning methods. Use statistical distributions and statistical tests to check it.
Understandability,,Data Quality ,Clarity of dataset components and metadata for user interpretation.,"Reflects how clearly a dataset and its components?such as field names, units, and metadata?can be interpreted and used by the intended audience. It involves ensuring that field names are clear and unambiguous, units are explicitly defined and consistently applied, and metadata offers sufficient context to describe data structure and relationships. It also includes identifying barriers to interpretation, such as inconsistent formatting or missing explanations."
Uniformity,,Operational Efficiency,Uniformity of data representation across systems or datasets.,"Uniformity as a metric measures the consistency of data representation across datasets, systems, or within a single dataset. "
Uniqueness,"['Percentage of Duplicate Data', 'Concentration', 'Redundancy']",Data Quality ,Uniqueness of records to avoid duplication.,"Ensures that each record in a dataset is distinct, avoiding duplicates. This also can be linked to data systems, in which the reference of Redundancy is linked to the number of repeated datasets that support System Robustness."
UPS Metrics,"['USF', 'UCF', 'UPFC', 'UPF', 'UPEE']",Operational Efficiency,UPS energy-conversion efficiency and related performance metrics.,"Metrics related to the performance of Uninterruptible Power Supply. These metrics are general energy efficiency or performance metrics related to that unit, such as Energy Efficiency (UPEE), which measure of how UPS converts input power into usable output power while minimizing energy losses."
Usability,"Usage, ease of use, friendliness",Data Quality ,"Ease of accessing, understanding, and using quality data.","The ease and efficiency with which quality data (Data-Value, Accuracy, Integrity, Completeness) can be effectively accessed (Communnication, Accessibility, Timeliness), understood (Clarity), and correctly be utilised (Easy-to-use or Utilisation & Performance, Relevance or Utility) by users to accomplish specific tasks."
User Frequency,"['User Count', 'Concurrent Users']",Customer Needs and Satisfaction,Concurrent user count and associated incremental cost.,"Tracks the number of concurrent users accessing data, with an associated cost for each additional user."
Utility,"['Relevance', 'Application Characteristic Index', Retention']",Data Valuation Techniques,Functional contribution of data to achieving intended goals.,"Utility, in the context of data valuation, refers to how effectively a resource?such as a dataset or system?supports the achievement of intended goals. Unlike usability, which focuses on ease of interaction, utility measures functional contribution to outcomes. While related to relevance, utility is broader; relevance is domain-specific and tied to particular use cases, whereas utility reflects overall potential impact."
Validity,,Data Quality,Adherence of data to defined business rules and criteria.,"Refers to the compliance of the information with the business rules that describe it (e.g. the age of a person must be Integer). It seems similar to Veracity but it covers the aspect of accuracy and precision of the data concerning the intended use. Validity is defined as the adherence of data values to specified criteria, ensuring that each data entry is logically sound and meets predefined conditions. This is typically done by applying specific rules to the dataset. For example, a rule might state, ?Asset Cost in any Asset record must be greater than zero? which would flag any entries with a non-positive asset cost as invalid."
Value Added,"['Value-added', 'Diminishing Value']",Data Valuation Techniques,Temporal decay of data?s utility over time.,"Value-Added and Diminishing Value metrics reflect the relevance and economic utility of data over time. While Value-Added emphasises the contribution of data to decision-making or operational efficiency, Diminishing Value highlights the temporal decline in data?s utility, particularly critical in sectors like IoT and real-time monitoring systems, where up-to-date information is essential for maintaining competitive advantage."
Value of Privacy,Privacy cost,Data Monetization,Minimum payment required for specific privacy level.,Minimum payment required for sharing data at a specific privacy level (?). Balances privacy loss with data utility.
Value Range,,Data Monetization,Potential value range achievable with required information.,"Describes the potential value achievable using required information. This value is assessed within a range, where moderation ensures values remain within reasonable or typical limits. Based on the DBV method, it incorporates an income approach for estimating benefits of intangible assets."
Variety,Multifacetedness,Data Quality ,Diversity of data types and formats.,Refers to the diversity of data types and formats. Variety emphasises the complexity and richness of data attributes for comprehensive analysis.
Velocity,Frequency Parameter,Data Quality,"Rate of data generation, ingestion, and processing.","Velocity describes the rate at which data is generated, ingested, and processed over time."
Views,,Market Penetration,Number of times a dataset?s page is viewed.,Represents the number of times a dataset?s page is accessed by users.
Visualisation,,Customer Needs and Satisfaction,Effectiveness of graphical data representations.,"Refers to the graphical representation of data using charts, graphs, maps, and diagrams. Effective visualisations improve clarity, accuracy, and relevance for quick insights and decision-making."
Volatility,,Data Quality ,Variability of data values over time.,"Volatility, as a data quality metric, refers to how frequently data changes or how long it remains valid before becoming outdated. It is closely linked to timeliness and currency, and may also indicate how often data deviates from expected values or business rules. In statistical and financial contexts, volatility is typically measured as the standard deviation or variance over time, reflecting the magnitude of fluctuations in a variable?s value."
Volume,"['Quantity', 'Entries']",Data Quality,Total volume of data available for analysis.,"Represents the total amount of data available for analysis, influencing reliability, pattern recognition, and machine learning. Adequate quantity must pair with high quality for actionable insights."
Wasserstein,Wasserstein Distribution,Data Quality,Degree of deviation between empirical and true distributions.,"Measures the difference between two probability distributions, quantifying how much the empirical distribution deviates from the true distribution."
Water Usage Effectiveness ,WUE,Operational Efficiency,Water usage per unit of IT energy consumption.,It measures the amount of water a data centre uses in relation to the energy consumed by its IT equipment.
Weighted Coverage Function,,Data Valuation Techniques,Price?adjustment weights for database query pricing.,"This function assigns weights to database instances, adjusting prices for queries based on the seller?s inputs. It reflects information disclosure."
Winning Rate,,Customer Needs and Satisfaction,Winning rate of data providers in query allocation.,"Winning rate is defined in the context of online ad allocation as a fairness metric. Measures the percentage of queries a data provider successfully serves, relative to the queries they are eligible to serve. Higher rates indicate valued offerings."
